1789148289.232840 bond0 B   ifindex 5 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.32, length 46
1789148289.469503 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.20 tell 192.168.100.31, length 46
1789148289.469503 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.20 tell 192.168.100.31, length 46
1789148289.470909 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.31, length 46
1789148289.470909 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.31, length 46
1789148289.471814 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.31, length 46
1789148289.471814 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.31, length 46
1789148289.499125 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.53 tell 192.168.100.30, length 28
1789148289.499134 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.53 tell 192.168.100.30, length 28
1789148289.691102 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.1 tell 192.168.100.30, length 28
1789148289.691111 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.1 tell 192.168.100.30, length 28
1789148289.732154 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.21 tell 192.168.100.31, length 46
1789148289.732154 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.21 tell 192.168.100.31, length 46
1789148289.738042 ens19 B   ifindex 3 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.31, length 46
1789148289.738042 bond0 B   ifindex 5 02:00:00:00:01:1f ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.22 tell 192.168.100.31, length 46
1789148290.139149 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.30, length 28
1789148290.139156 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.10 tell 192.168.100.30, length 28
1789148290.139185 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.30, length 28
1789148290.139187 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.30, length 28
1789148290.139438 bond0 Out ifindex 5 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.30, length 28
1789148290.139440 ens19 Out ifindex 3 02:00:00:00:01:1e ethertype ARP (0x0806), length 48: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.12 tell 192.168.100.30, length 28
1789148290.161503 ens19 B   ifindex 3 02:00:00:00:01:20 ethertype ARP (0x0806), length 66: Ethernet (len 6), IPv4 (len 4), Request who-has 192.168.100.11 tell 192.168.100.32, length 46
